label,value,caseReference
state,Ongoing_v1,105701
Contributor_v7,Nam Ton That,105701
Location_v1,France,105701
Description_v1,Cloud Starter POC v0 + prerequisite,105701
state,Completed,105311
Contributor_v7,Mark Hudson,105311
Location_v1,United Kingdom,105311
Description_v1,Vercer (VCMG) energy trading,105311
state,Ongoing_v1,88001
Contributor_v7,Mark Hudson,88001
Location_v1,United Kingdom,88001
Description_v1,UBS trade surveillance,88001
state,Ongoing_v1,81911
Contributor_v7,Mark Hudson,81911
Location_v1,Turkey,81911
Description_v1,Kuveyt Turk Borsa Istanbul Nasdaq OMX integration,81911
state,Ongoing_v1,105301
Contributor_v7,Mark Hudson,105301
Location_v1,United Kingdom,105301
Description_v1,Mercedes AMG F1 Wind Tunnel Optimisation,105301
state,Ongoing_v1,105291
Contributor_v7,Mark Hudson,105291
Location_v1,Turkey,105291
Description_v1,Akbank execution algos,105291
state,Completed,76301
Contributor_v7,Jörg Grote,76301
Location_v1,Germany,76301
Description_v1,LiveApps getting Started Support and Product Positioning,76301
state,Ongoing_v1,105281
Contributor_v7,Jörg Grote,105281
Location_v1,Germany,105281
Description_v1,Workshop to discuss Software AG replacement with AMX BPM,105281
state,Ongoing_v1,105271
Contributor_v7,Jörg Grote,105271
Location_v1,Germany,105271
Description_v1,PSG support in actual AMX BPM Project activities,105271
state,Ongoing_v1,105251
Contributor_v7,Mark Hudson,105251
Location_v1,United Kingdom,105251
Description_v1,Credit Agricole NYC expansion and FIX,105251
state,Ongoing_v1,105071
Contributor_v7,Jeremy Smith,105071
Location_v1,United Kingdom,105071
Description_v1,Contribution to community by answering questions on ActiveMatrix BPM and Tibco Cloud,105071
state,Ongoing_v1,92461
Contributor_v7,Jörg Grote,92461
Location_v1,Germany,92461
Description_v1,TIBCO IoT Landscape Guideline,92461
state,Ongoing_v1,92491
Contributor_v7,Jörg Grote,92491
Location_v1,Germany,92491
Description_v1,extend Amazon Alexa Skill for AMX BPM,92491
state,Completed,105041
Contributor_v7,Jeremy Smith,105041
Location_v1,United Kingdom,105041
Description_v1,Assist Gary Shacklock @ NS&I with AMX:BPM REST Issue (JSESSION ID Cookie),105041
state,Completed,105031
Contributor_v7,Jeremy Smith,105031
Location_v1,United States of America,105031
Description_v1,Tibco BPM Update for MWD,105031
state,Completed,92471
Contributor_v7,Jörg Grote,92471
Location_v1,Germany,92471
Description_v1,Research on feasibility of TCI/Flogo Extensions,92471
state,Ongoing_v1,105021
Contributor_v7,Jörg Grote,105021
Location_v1,Germany,105021
Description_v1,prep. Webinar Cross-sell LiveApps Backend Integration,105021
state,Completed,92611
Contributor_v7,Jörg Grote,92611
Location_v1,Germany,92611
Description_v1,Usecases for Live Data Mart and Live View,92611
state,Completed,104871
Contributor_v7,Jeremy Smith,104871
Location_v1,United States of America,104871
Description_v1,Demo/webex of Tibco Intelligence Cloud for SIIA CODiE Awards,104871
state,Ongoing_v1,101971
Contributor_v7,Mark Hudson,101971
Location_v1,United Kingdom,101971
Description_v1,Training data import for JP Morgan,101971
state,Ongoing_v1,101841
Contributor_v7,Jeremy Smith,101841
Location_v1,Other,101841
Description_v1,Assisting with Case Management Framework positioning and suitability for National Australia Bank (NAB),101841
state,Ongoing_v1,92751
Contributor_v7,Mark Hudson,92751
Location_v1,United Kingdom,92751
Description_v1,Gain Capital / City Index StreamBase 10 Migration,92751
state,Ongoing_v1,92691
Contributor_v7,Florent Cenedese,92691
Location_v1,Other,92691
Description_v1,Nordea Bank - Grid ELA,92691
state,Ongoing_v1,92681
Contributor_v7,Florent Cenedese,92681
Location_v1,United Kingdom,92681
Description_v1,Lloyds Banking Group - Lloyds GRID Cloud Project,92681
state,Ongoing_v1,92671
Contributor_v7,Mark Hudson,92671
Location_v1,United Kingdom,92671
